집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20180401,11,0,1,0,1,11369,153,134,74,139,1319,13188
20180401,11,0,2,0,1,37800,386,448,122,435,2329,41520
20180401,11,1,1,0,1,11930,103,144,85,126,1382,13770
20180401,11,1,2,0,1,39562,357,482,129,377,2388,43295
20180401,12,0,1,0,1,591,8,6,6,2,47,660
20180401,12,0,2,0,1,1340,7,14,7,11,37,1416
20180401,12,1,1,0,1,434,3,5,1,2,47,492
20180401,12,1,2,0,1,1435,2,11,2,3,39,1492
20180401,13,0,1,0,1,759,18,9,11,7,64,868
20180401,13,0,2,0,1,2067,20,45,6,49,46,2233
20180401,13,1,1,0,1,795,8,10,12,5,66,896
20180401,13,1,2,0,1,2028,12,66,3,41,35,2185
20180401,25,0,1,8,1,6027,14,47,5,3,96,6192
20180401,25,0,2,8,1,4315,9,27,0,5,154,4510
20180401,25,1,1,8,1,5755,8,44,0,0,97,5904
20180401,25,1,2,8,1,4015,9,27,1,3,174,4229
20180401,29,0,1,0,1,2993,19,29,28,129,347,3545
20180401,29,0,2,0,1,8698,35,89,21,432,491,9766
20180401,29,1,1,0,1,3553,19,49,31,135,422,4209
20180401,29,1,2,0,1,10182,48,103,16,612,637,11598
20180401,53,0,1,0,1,5857,53,48,43,20,685,6706
20180401,53,0,2,0,1,21230,185,633,53,241,1189,23531
20180401,53,1,1,0,1,5886,34,53,31,21,640,6665
20180401,53,1,2,0,1,21804,171,648,61,203,1242,24129
20180401,56,0,1,0,1,247,34,5,2,14,26,328
20180401,56,0,2,0,1,573,1,3,5,94,19,695
20180401,56,1,1,0,1,234,3,4,2,13,20,276
20180401,56,1,2,0,1,475,3,2,3,91,22,596
20180401,61,0,1,0,1,11055,126,311,145,36,1213,12886
20180401,61,0,2,0,1,56801,747,1146,354,394,2701,62143
20180401,61,1,1,0,1,10529,179,198,215,52,1062,12235
20180401,61,1,2,0,1,52175,684,1250,502,456,2392,57459
20180401,62,0,1,0,1,15309,215,273,149,43,1627,17616
20180401,62,0,2,0,1,64607,819,1388,407,515,3330,71066
20180401,62,1,1,0,1,15006,192,202,174,60,1534,17168
20180401,62,1,2,0,1,65591,638,1371,396,481,3209,71686
20180401,63,0,1,0,1,1249,15,29,17,5,127,1442
20180401,63,0,2,0,1,6238,80,52,28,44,323,6765
20180401,63,1,1,0,1,1362,22,18,10,9,141,1562
20180401,63,1,2,0,1,6384,48,55,20,46,316,6869
20180401,64,0,1,0,1,10282,101,104,68,28,1084,11667
20180401,64,0,2,0,1,47737,436,1081,166,283,2381,52084
20180401,64,1,1,0,1,11725,93,128,81,38,1169,13234
20180401,64,1,2,0,1,51396,452,1167,165,329,2427,55936
20180401,65,0,1,0,1,6044,52,23,21,13,477,6630
20180401,65,0,2,0,1,29337,135,1570,46,134,1092,32314
20180401,65,1,1,0,1,7602,44,21,27,12,563,8269
20180401,65,1,2,0,1,32403,146,1571,32,46,1214,35412
20180401,66,0,1,0,1,2683,33,32,11,6,293,3058
20180401,66,0,2,0,1,13485,130,83,32,40,637,14407
20180401,66,1,1,0,1,2212,31,23,5,4,262,2537
20180401,66,1,2,0,1,10896,104,70,19,29,505,11623
20180401,67,0,1,0,1,11289,110,149,91,53,1292,12984
20180401,67,0,2,0,1,50915,503,919,186,298,2642,55463
20180401,67,1,1,0,1,11407,99,107,106,61,1214,12994
20180401,67,1,2,0,1,51749,404,905,188,333,2543,56122
20180401,68,0,1,0,1,13906,163,235,139,120,1681,16244
20180401,68,0,2,0,1,58415,540,872,169,385,3143,63524
20180401,68,1,1,0,1,15456,175,216,127,111,1781,17866
20180401,68,1,2,0,1,61440,536,996,162,409,3267,66810
20180401,69,0,1,0,1,374,0,1,1,0,36,412
20180401,69,0,2,0,1,1515,10,0,0,0,42,1567
20180401,69,1,1,0,1,419,0,0,0,1,28,448
20180401,69,1,2,0,1,2079,13,0,0,0,65,2157
20180401,74,0,1,10,1,727,4,8,4,4,108,855
20180401,74,0,2,10,1,3709,25,18,7,35,211,4005
20180401,74,1,1,10,1,961,0,11,7,4,119,1102
20180401,74,1,2,10,1,4306,30,24,10,29,243,4642
20180401,91,0,1,0,1,337,7,5,0,1,44,394
20180401,91,0,2,0,1,855,12,6,8,18,39,938
20180401,91,1,1,0,1,464,12,16,6,10,52,560
20180401,91,1,2,0,1,699,3,2,4,3,31,742
20180401,92,0,1,0,1,698,8,17,13,5,87,828
20180401,92,0,2,0,1,2556,20,129,7,21,155,2888
20180401,92,1,1,0,1,532,8,9,7,3,76,635
20180401,92,1,2,0,1,1925,9,121,8,26,125,2214
20180401,101,0,1,0,0,19200,162,313,137,33,190,20035
20180401,101,0,2,0,0,70698,963,7288,429,291,2766,82435
