집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20181102,11,0,1,0,1,11773,523,494,666,693,1755,15904
20181102,11,0,2,0,1,55857,1786,949,576,2573,4141,65882
20181102,11,1,1,0,1,12949,354,768,564,723,1846,17204
20181102,11,1,2,0,1,58721,1840,1034,628,2775,4341,69339
20181102,12,0,1,0,1,260,14,12,9,3,27,325
20181102,12,0,2,0,1,901,9,30,21,57,32,1050
20181102,12,1,1,0,1,221,4,9,4,2,15,255
20181102,12,1,2,0,1,705,6,11,6,44,30,802
20181102,13,0,1,0,1,709,42,42,48,20,55,916
20181102,13,0,2,0,1,2196,63,102,26,144,91,2622
20181102,13,1,1,0,1,870,42,49,29,33,59,1082
20181102,13,1,2,0,1,2456,68,141,36,147,86,2934
20181102,25,0,1,8,1,2486,43,64,10,31,54,2688
20181102,25,0,2,8,1,2095,12,50,3,5,102,2267
20181102,25,1,1,8,1,3410,33,88,16,100,67,3714
20181102,25,1,2,8,1,2330,18,36,2,35,132,2553
20181102,29,0,1,0,1,2840,166,244,229,450,404,4333
20181102,29,0,2,0,1,10910,277,207,156,1790,699,14039
20181102,29,1,1,0,1,3835,216,282,216,479,482,5510
20181102,29,1,2,0,1,12571,319,228,174,1817,769,15878
20181102,53,0,1,0,1,6163,208,251,260,147,872,7901
20181102,53,0,2,0,1,31722,911,932,381,1138,2221,37305
20181102,53,1,1,0,1,6824,183,344,228,146,893,8618
20181102,53,1,2,0,1,34097,938,1175,356,1023,2337,39926
20181102,56,0,1,0,1,236,40,11,19,10,37,353
20181102,56,0,2,0,1,617,22,9,14,203,30,895
20181102,56,1,1,0,1,231,12,19,23,13,29,327
20181102,56,1,2,0,1,534,18,9,16,199,25,801
20181102,61,0,1,0,1,10766,448,1147,965,298,1298,14922
20181102,61,0,2,0,1,66783,2654,2383,1238,1582,3931,78571
20181102,61,1,1,0,1,9936,472,855,1286,478,1219,14246
20181102,61,1,2,0,1,62781,2577,2310,1408,1872,3630,74578
20181102,62,0,1,0,1,16317,758,1309,1047,434,1843,21708
20181102,62,0,2,0,1,70115,2842,2240,2193,2012,4251,83653
20181102,62,1,1,0,1,13542,574,1004,979,326,1673,18098
20181102,62,1,2,0,1,75669,3226,2579,2702,2519,4873,91568
20181102,63,0,1,0,1,1688,54,155,103,34,202,2236
20181102,63,0,2,0,1,10214,430,185,238,332,679,12078
20181102,63,1,1,0,1,1091,34,82,86,37,161,1491
20181102,63,1,2,0,1,6609,303,180,162,349,409,8012
20181102,64,0,1,0,1,10104,341,501,484,274,1299,13003
20181102,64,0,2,0,1,65656,2037,2020,772,1688,4151,76324
20181102,64,1,1,0,1,11280,405,673,446,163,1421,14388
20181102,64,1,2,0,1,65880,2032,2307,787,1518,4119,76643
20181102,65,0,1,0,1,6507,119,100,73,66,644,7509
20181102,65,0,2,0,1,39918,551,2706,181,311,1894,45561
20181102,65,1,1,0,1,7557,127,128,76,44,674,8606
20181102,65,1,2,0,1,38574,527,2505,127,282,1865,43880
20181102,66,0,1,0,1,2139,121,108,75,24,271,2738
20181102,66,0,2,0,1,13001,452,235,145,271,866,14970
20181102,66,1,1,0,1,2215,111,121,81,22,247,2797
20181102,66,1,2,0,1,12634,421,202,125,276,845,14503
20181102,67,0,1,0,1,10807,403,699,644,226,1392,14171
20181102,67,0,2,0,1,61682,2071,1822,1101,1599,3857,72132
20181102,67,1,1,0,1,10836,462,879,854,711,1304,15046
20181102,67,1,2,0,1,60445,2009,1637,1089,1644,3665,70489
20181102,68,0,1,0,1,14542,681,1183,831,733,1855,19825
20181102,68,0,2,0,1,63311,2368,1529,937,2414,4260,74819
20181102,68,1,1,0,1,14759,706,1079,1063,809,1892,20308
20181102,68,1,2,0,1,71954,2597,1682,1009,2123,4921,84286
20181102,69,0,1,0,1,404,2,1,1,0,50,458
20181102,69,0,2,0,1,2814,39,2,0,0,153,3008
20181102,69,1,1,0,1,672,9,1,2,0,67,751
20181102,69,1,2,0,1,4546,52,0,0,0,174,4772
20181102,74,0,1,10,1,998,39,52,114,65,137,1405
20181102,74,0,2,10,1,6406,145,79,122,559,504,7815
20181102,74,1,1,10,1,1089,38,51,119,47,146,1490
20181102,74,1,2,10,1,6170,145,86,139,476,494,7510
