집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20170503,11,0,1,0,1,14005,402,298,352,763,1705,17525
20170503,11,0,2,0,1,43936,968,576,398,1479,2816,50173
20170503,11,1,1,0,1,15371,225,433,368,709,1851,18957
20170503,11,1,2,0,1,46640,981,606,429,1787,3025,53468
20170503,12,0,1,0,1,639,11,7,5,3,51,716
20170503,12,0,2,0,1,1271,8,14,11,9,31,1344
20170503,12,1,1,0,1,274,4,1,1,7,19,306
20170503,12,1,2,0,1,648,7,3,5,5,13,681
20170503,13,0,1,0,1,1141,30,23,45,21,79,1339
20170503,13,0,2,0,1,2939,31,46,7,81,95,3199
20170503,13,1,1,0,1,1270,34,30,33,28,92,1487
20170503,13,1,2,0,1,3215,34,47,11,87,85,3479
20170503,25,0,1,8,1,4164,7,24,5,8,122,4330
20170503,25,0,2,8,1,4527,8,17,5,8,209,4774
20170503,25,1,1,8,1,5339,12,20,28,13,118,5530
20170503,25,1,2,8,1,3982,13,20,2,26,204,4247
20170503,29,0,1,0,1,2994,107,134,181,381,366,4163
20170503,29,0,2,0,1,8867,114,105,81,994,480,10641
20170503,29,1,1,0,1,3661,124,177,155,418,421,4956
20170503,29,1,2,0,1,10666,142,112,98,1036,592,12646
20170503,53,0,1,0,1,7415,127,120,104,212,890,8868
20170503,53,0,2,0,1,24496,389,726,145,1013,1531,28300
20170503,53,1,1,0,1,6872,114,147,102,113,787,8135
20170503,53,1,2,0,1,22990,377,621,108,733,1449,26278
20170503,56,0,1,0,1,263,32,9,24,3,22,353
20170503,56,0,2,0,1,534,7,6,6,11,24,588
20170503,56,1,1,0,1,239,13,10,23,5,20,310
20170503,56,1,2,0,1,468,7,4,2,16,16,513
20170503,61,0,1,0,1,10677,322,671,595,190,1103,13558
20170503,61,0,2,0,1,49484,1676,1434,850,1084,2439,56967
20170503,61,1,1,0,1,10072,325,462,1224,226,1017,13326
20170503,61,1,2,0,1,46583,1637,1426,1079,1276,2257,54258
20170503,62,0,1,0,1,19261,626,951,551,540,1843,23772
20170503,62,0,2,0,1,62556,1947,1488,886,1557,3033,71467
20170503,62,1,1,0,1,17475,518,628,674,396,1772,21463
20170503,62,1,2,0,1,70267,2164,1891,1193,2050,3615,81180
20170503,63,0,1,0,1,1522,37,47,21,24,175,1826
20170503,63,0,2,0,1,6373,159,86,60,179,363,7220
20170503,63,1,1,0,1,1427,28,44,30,28,160,1717
20170503,63,1,2,0,1,5733,112,93,58,216,313,6525
20170503,64,0,1,0,1,12671,265,311,289,216,1330,15082
20170503,64,0,2,0,1,55141,1313,1686,486,1119,2747,62492
20170503,64,1,1,0,1,14241,328,418,263,200,1441,16891
20170503,64,1,2,0,1,58040,1457,1484,482,1070,2999,65532
20170503,65,0,1,0,1,7156,90,72,35,53,611,8017
20170503,65,0,2,0,1,32049,392,1815,103,215,1322,35896
20170503,65,1,1,0,1,10732,115,121,100,72,816,11956
20170503,65,1,2,0,1,42347,554,1927,123,391,1722,47064
20170503,66,0,1,0,1,3789,93,101,51,62,415,4511
20170503,66,0,2,0,1,15509,291,147,92,525,842,17406
20170503,66,1,1,0,1,3212,77,97,57,33,351,3827
20170503,66,1,2,0,1,12549,328,142,89,211,663,13982
20170503,67,0,1,0,1,14234,271,425,412,203,1507,17052
20170503,67,0,2,0,1,56528,1152,1208,630,824,2834,63176
20170503,67,1,1,0,1,12825,267,429,491,251,1410,15673
20170503,67,1,2,0,1,50460,1087,1144,712,1197,2749,57349
20170503,68,0,1,0,1,17668,437,648,436,439,2041,21669
