집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20161202,11,0,1,0,1,13977,780,626,702,1067,1993,19145
20161202,11,0,2,0,1,53143,1917,901,634,1887,4153,62635
20161202,11,1,1,0,1,15671,425,898,659,909,2139,20701
20161202,11,1,2,0,1,53493,1892,954,684,2396,4195,63614
20161202,12,0,1,0,1,311,13,21,16,1,24,386
20161202,12,0,2,0,1,736,13,15,15,19,27,825
20161202,12,1,1,0,1,228,4,11,7,4,14,268
20161202,12,1,2,0,1,566,8,7,10,17,22,630
20161202,13,0,1,0,1,656,49,37,50,101,56,949
20161202,13,0,2,0,1,1455,45,50,26,161,63,1800
20161202,13,1,1,0,1,730,66,46,46,122,65,1075
20161202,13,1,2,0,1,1547,43,62,23,162,62,1899
20161202,25,0,1,8,1,1051,16,27,20,4,40,1158
20161202,25,0,2,8,1,1031,8,22,6,5,59,1131
20161202,25,1,1,8,1,935,13,35,22,118,39,1162
20161202,25,1,2,8,1,1162,11,23,8,6,74,1284
20161202,29,0,1,0,1,3037,177,223,305,659,383,4784
20161202,29,0,2,0,1,9576,236,182,136,1575,623,12328
20161202,29,1,1,0,1,4124,228,298,268,748,537,6203
20161202,29,1,2,0,1,10841,255,190,171,1480,723,13660
20161202,53,0,1,0,1,7100,244,213,199,273,1002,9031
20161202,53,0,2,0,1,28369,741,825,236,1057,2163,33391
20161202,53,1,1,0,1,7058,230,281,200,198,892,8859
20161202,53,1,2,0,1,28661,732,1002,210,886,2159,33650
20161202,56,0,1,0,1,225,61,4,6,7,16,319
20161202,56,0,2,0,1,465,8,6,9,11,32,531
20161202,56,1,1,0,1,236,11,8,6,3,13,277
20161202,56,1,2,0,1,384,15,2,8,14,31,454
20161202,61,0,1,0,1,11665,672,1106,865,355,1352,16015
20161202,61,0,2,0,1,58668,2572,1983,1145,1700,3691,69759
20161202,61,1,1,0,1,10540,618,787,1251,584,1322,15102
20161202,61,1,2,0,1,57697,2654,2040,1411,2044,3679,69525
20161202,62,0,1,0,1,16979,889,1158,1000,464,2086,22576
20161202,62,0,2,0,1,76267,3394,2440,2073,2691,5101,91966
20161202,62,1,1,0,1,16777,893,1244,1412,970,2034,23330
20161202,62,1,2,0,1,74587,3270,2391,2145,2359,5140,89892
20161202,63,0,1,0,1,1344,68,86,127,12,187,1824
20161202,63,0,2,0,1,7072,233,72,307,156,577,8417
20161202,63,1,1,0,1,1058,66,53,73,18,152,1420
20161202,63,1,2,0,1,5132,179,70,72,165,426,6044
20161202,64,0,1,0,1,12403,524,589,506,354,1634,16010
20161202,64,0,2,0,1,63934,2308,2060,664,1631,4375,74972
20161202,64,1,1,0,1,14405,623,817,516,341,1839,18541
20161202,64,1,2,0,1,69230,2483,2310,697,1536,4633,80889
20161202,65,0,1,0,1,8494,179,130,105,46,833,9787
20161202,65,0,2,0,1,40969,620,3163,133,192,2106,47183
