집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20180901,11,0,1,0,1,13250,352,301,416,507,1551,16377
20180901,11,0,2,0,1,50318,1039,634,399,1831,3122,57343
20180901,11,1,1,0,1,15023,264,401,459,417,1732,18296
20180901,11,1,2,0,1,54662,1147,660,463,1993,3383,62308
20180901,12,0,1,0,1,269,2,10,7,2,14,304
20180901,12,0,2,0,1,783,6,12,10,13,25,849
20180901,12,1,1,0,1,167,4,6,3,2,14,196
20180901,12,1,2,0,1,536,3,6,3,8,15,571
20180901,13,0,1,0,1,574,12,16,9,9,49,669
20180901,13,0,2,0,1,1740,19,54,17,68,44,1942
20180901,13,1,1,0,1,745,18,20,6,16,52,857
20180901,13,1,2,0,1,1937,20,41,9,74,57,2138
20180901,25,0,1,8,1,4102,25,30,7,7,70,4241
20180901,25,0,2,8,1,2986,15,18,1,2,117,3139
20180901,25,1,1,8,1,1671,19,23,9,73,79,1874
20180901,25,1,2,8,1,3036,17,10,2,5,136,3206
20180901,29,0,1,0,1,2690,68,88,104,238,313,3501
20180901,29,0,2,0,1,9187,123,107,86,869,538,10910
20180901,29,1,1,0,1,3314,83,85,88,254,411,4235
20180901,29,1,2,0,1,10282,125,138,111,804,604,12064
20180901,53,0,1,0,1,7709,135,135,181,175,891,9226
20180901,53,0,2,0,1,31920,462,711,241,967,1765,36066
20180901,53,1,1,0,1,7724,96,185,173,144,929,9251
20180901,53,1,2,0,1,32322,479,786,219,832,1797,36435
20180901,56,0,1,0,1,261,46,7,1,0,26,341
20180901,56,0,2,0,1,587,6,7,4,18,22,644
20180901,56,1,1,0,1,206,7,4,4,1,26,248
20180901,56,1,2,0,1,520,14,5,4,20,20,583
20180901,61,0,1,0,1,12465,301,540,586,168,1304,15364
20180901,61,0,2,0,1,66855,1576,1597,746,1053,3272,75099
20180901,61,1,1,0,1,12077,303,469,650,202,1201,14902
20180901,61,1,2,0,1,62530,1393,1461,755,1264,3074,70477
20180901,62,0,1,0,1,18797,452,777,754,270,1862,22912
20180901,62,0,2,0,1,68778,1587,1432,1353,1418,3414,77982
20180901,62,1,1,0,1,15440,344,503,826,171,1619,18903
20180901,62,1,2,0,1,73482,1767,1748,1968,1580,3836,84381
20180901,63,0,1,0,1,1968,31,98,65,27,232,2421
20180901,63,0,2,0,1,10903,218,154,220,417,564,12476
20180901,63,1,1,0,1,1387,37,61,51,24,172,1732
20180901,63,1,2,0,1,7449,191,126,95,285,434,8580
20180901,64,0,1,0,1,12265,226,291,243,136,1314,14475
20180901,64,0,2,0,1,63497,1030,1405,414,1027,3212,70585
20180901,64,1,1,0,1,13839,361,212,246,153,1414,16225
20180901,64,1,2,0,1,62832,1115,1548,402,911,3208,70016
20180901,65,0,1,0,1,6654,97,64,55,62,571,7503
20180901,65,0,2,0,1,33783,363,1910,104,284,1285,37729
20180901,65,1,1,0,1,8161,106,74,46,42,626,9055
20180901,65,1,2,0,1,35375,412,1956,57,140,1342,39282
20180901,66,0,1,0,1,2392,63,49,32,26,283,2845
20180901,66,0,2,0,1,12556,214,132,72,230,648,13852
20180901,66,1,1,0,1,2780,70,58,46,33,294,3281
20180901,66,1,2,0,1,13894,205,156,76,299,694,15324
20180901,67,0,1,0,1,13174,213,355,342,119,1410,15613
20180901,67,0,2,0,1,62792,1089,1230,530,1004,3142,69787
20180901,67,1,1,0,1,12416,231,437,407,266,1342,15099
20180901,67,1,2,0,1,59220,1127,1243,724,1293,2915,66522
20180901,68,0,1,0,1,15606,346,605,482,338,1845,19222
20180901,68,0,2,0,1,67020,1355,1140,516,1620,3621,75272
20180901,68,1,1,0,1,16802,390,588,511,382,1919,20592
20180901,68,1,2,0,1,71897,1433,1213,580,1326,3867,80316
20180901,69,0,1,0,1,431,2,1,1,0,36,471
20180901,69,0,2,0,1,1801,17,0,0,5,63,1886
20180901,69,1,1,0,1,555,6,1,0,1,50,613
20180901,69,1,2,0,1,2759,17,0,0,0,109,2885
20180901,74,0,1,10,1,878,19,27,58,30,117,1129
20180901,74,0,2,10,1,4851,68,43,101,513,318,5894
20180901,74,1,1,10,1,1126,22,23,60,43,156,1430
20180901,74,1,2,10,1,5841,86,39,110,408,354,6838
20180901,91,0,1,0,1,302,28,20,4,2,40,396
20180901,91,0,2,0,1,1134,35,23,98,33,57,1380
20180901,91,1,1,0,1,276,20,31,9,4,39,379
20180901,91,1,2,0,1,1139,32,33,110,42,63,1419
20180901,92,0,1,0,1,697,24,26,24,11,113,895
20180901,92,0,2,0,1,2888,53,123,17,60,167,3308
20180901,92,1,1,0,1,519,19,28,14,14,74,668
20180901,92,1,2,0,1,2279,31,110,18,83,121,2642
20180901,101,0,1,0,0,19405,269,478,287,130,218,20787
20180901,101,0,2,0,0,77384,1684,8568,764,716,2886,92002
20180901,101,1,1,0,0,18468,361,716,517,148,1518,21728
20180901,101,1,2,0,0,75186,2122,8654,1130,983,3019,91094
20180901,102,0,1,0,0,7517,94,146,183,47,111,8098
20180901,102,0,2,0,0,39400,440,1112,101,495,1939,43487
20180901,102,1,1,0,0,6388,96,167,182,36,711,7580
20180901,102,1,2,0,0,32207,413,941,109,586,1634,35890
20180901,103,0,1,0,0,7544,162,282,208,39,99,8334
20180901,103,0,2,0,0,38246,1136,1750,489,363,1685,43669
20180901,103,1,1,0,0,6629,159,256,215,69,643,7971
20180901,103,1,2,0,0,33186,990,1695,541,459,1483,38354
20180901,104,0,1,0,0,202,2,20,24,24,1,273
20180901,104,0,2,0,0,617,7,8,17,25,16,690
20180901,104,1,1,0,0,262,3,10,9,3,18,305
20180901,104,1,2,0,0,919,6,13,17,13,20,988
20180901,105,0,1,0,0,1715,48,61,50,31,33,1938
