집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20180602,11,0,1,0,1,13617,358,284,418,542,1652,16871
20180602,11,0,2,0,1,48841,991,674,376,1979,3092,55953
20180602,11,1,1,0,1,15363,236,417,496,561,1768,18841
20180602,11,1,2,0,1,53432,1084,660,442,2135,3383,61136
20180602,12,0,1,0,1,363,11,9,6,7,40,436
20180602,12,0,2,0,1,870,12,9,14,24,21,950
20180602,12,1,1,0,1,220,6,8,2,0,21,257
20180602,12,1,2,0,1,573,4,4,4,6,25,616
20180602,13,0,1,0,1,654,20,9,55,19,58,815
20180602,13,0,2,0,1,1909,25,48,33,137,51,2203
20180602,13,1,1,0,1,848,23,14,53,29,69,1036
20180602,13,1,2,0,1,2296,33,57,36,154,61,2637
20180602,25,0,1,8,1,5040,33,38,10,6,99,5226
20180602,25,0,2,8,1,3747,13,23,2,18,158,3961
20180602,25,1,1,8,1,6063,33,49,14,12,116,6287
20180602,25,1,2,8,1,3883,17,29,6,43,179,4157
20180602,29,0,1,0,1,3179,88,125,113,292,397,4194
20180602,29,0,2,0,1,10033,125,137,93,1066,586,12040
20180602,29,1,1,0,1,3753,83,120,138,304,439,4837
20180602,29,1,2,0,1,11700,145,169,114,1058,660,13846
20180602,53,0,1,0,1,7668,148,135,164,151,915,9181
20180602,53,0,2,0,1,30540,445,794,194,961,1817,34751
20180602,53,1,1,0,1,7292,109,183,127,96,882,8689
20180602,53,1,2,0,1,29825,446,838,185,692,1718,33704
20180602,56,0,1,0,1,250,59,7,18,2,24,360
20180602,56,0,2,0,1,555,13,7,4,16,28,623
20180602,56,1,1,0,1,249,14,10,16,1,20,310
20180602,56,1,2,0,1,462,14,5,9,14,20,524
20180602,61,0,1,0,1,12616,251,563,531,159,1358,15478
20180602,61,0,2,0,1,66095,1467,1674,769,1189,3275,74469
20180602,61,1,1,0,1,12246,304,390,575,235,1262,15012
20180602,61,1,2,0,1,61878,1390,1573,737,1433,3024,70035
20180602,62,0,1,0,1,17780,435,675,536,251,1875,21552
20180602,62,0,2,0,1,70724,1449,1643,1219,1378,3628,80041
20180602,62,1,1,0,1,16314,365,522,616,190,1731,19738
20180602,62,1,2,0,1,75331,1730,1886,1834,1603,4062,86446
20180602,63,0,1,0,1,1822,40,94,72,19,187,2234
20180602,63,0,2,0,1,10025,229,160,191,264,563,11432
20180602,63,1,1,0,1,1562,44,77,60,18,157,1918
20180602,63,1,2,0,1,7555,181,117,87,270,389,8599
20180602,64,0,1,0,1,12646,223,286,204,120,1377,14856
20180602,64,0,2,0,1,62449,1013,1459,408,1001,3221,69551
20180602,64,1,1,0,1,13890,301,323,228,132,1453,16327
20180602,64,1,2,0,1,61809,1104,1543,407,848,3219,68930
20180602,65,0,1,0,1,6643,89,51,34,29,534,7380
20180602,65,0,2,0,1,33215,369,1983,80,157,1325,37129
20180602,65,1,1,0,1,8875,124,62,54,24,647,9786
20180602,65,1,2,0,1,38204,379,2020,79,119,1475,42276
20180602,66,0,1,0,1,2680,60,52,37,22,281,3132
20180602,66,0,2,0,1,13762,203,156,93,148,756,15118
20180602,66,1,1,0,1,3101,54,61,45,32,334,3627
20180602,66,1,2,0,1,14724,177,166,73,124,727,15991
20180602,67,0,1,0,1,13200,204,375,393,162,1453,15787
20180602,67,0,2,0,1,61324,991,1324,543,947,3072,68201
20180602,67,1,1,0,1,12983,227,451,499,274,1437,15871
20180602,67,1,2,0,1,59448,1033,1299,682,1320,3017,66799
20180602,68,0,1,0,1,16193,301,611,452,435,1920,19912
20180602,68,0,2,0,1,69023,1323,1197,564,1701,3875,77683
20180602,68,1,1,0,1,17351,377,618,478,473,2007,21304
20180602,68,1,2,0,1,71321,1358,1268,557,1524,3943,79971
