집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20170601,11,0,1,0,1,13248,713,567,640,936,1919,18023
20170601,11,0,2,0,1,53217,1832,929,635,2111,4134,62858
20170601,11,1,1,0,1,14598,412,836,636,749,2057,19288
20170601,11,1,2,0,1,54769,1809,992,676,2524,4223,64993
20170601,12,0,1,0,1,265,9,16,11,26,29,356
20170601,12,0,2,0,1,621,9,20,12,16,30,708
20170601,12,1,1,0,1,192,7,6,13,29,24,271
20170601,12,1,2,0,1,505,11,5,10,13,25,569
20170601,13,0,1,0,1,618,51,41,64,25,47,846
20170601,13,0,2,0,1,1415,43,74,28,145,53,1758
20170601,13,1,1,0,1,657,47,42,60,28,57,891
20170601,13,1,2,0,1,1503,46,87,28,151,55,1870
20170601,25,0,1,8,1,1096,15,33,6,4,39,1193
20170601,25,0,2,8,1,1195,12,25,2,7,76,1317
20170601,25,1,1,8,1,1567,17,23,11,4,68,1690
20170601,25,1,2,8,1,1422,24,32,4,14,100,1596
20170601,29,0,1,0,1,2843,173,249,327,682,388,4662
20170601,29,0,2,0,1,9983,270,184,183,2118,609,13347
20170601,29,1,1,0,1,3652,217,281,292,718,485,5645
20170601,29,1,2,0,1,11207,287,223,188,1878,715,14498
20170601,53,0,1,0,1,6333,236,204,238,295,874,8180
20170601,53,0,2,0,1,27907,761,863,273,1035,2209,33048
20170601,53,1,1,0,1,6270,201,292,194,235,877,8069
20170601,53,1,2,0,1,27526,747,944,229,965,2078,32489
20170601,56,0,1,0,1,234,65,8,20,11,21,359
20170601,56,0,2,0,1,495,13,8,9,35,32,592
20170601,56,1,1,0,1,255,21,9,17,12,18,332
20170601,56,1,2,0,1,453,13,12,7,32,23,540
20170601,61,0,1,0,1,10283,526,1025,905,297,1183,14219
20170601,61,0,2,0,1,57880,2620,2112,1214,1640,3541,69007
20170601,61,1,1,0,1,9898,528,779,1308,523,1140,14176
20170601,61,1,2,0,1,56256,2584,2053,1390,1960,3595,67838
20170601,62,0,1,0,1,17180,872,1437,1008,700,2007,23204
20170601,62,0,2,0,1,67147,3356,2404,2038,2800,4340,82085
20170601,62,1,1,0,1,15149,713,1109,1199,588,1893,20651
20170601,62,1,2,0,1,73785,3505,2628,2480,3095,5004,90497
20170601,63,0,1,0,1,1346,55,94,103,19,190,1807
20170601,63,0,2,0,1,6801,225,95,308,170,617,8216
20170601,63,1,1,0,1,1050,70,52,59,17,141,1389
20170601,63,1,2,0,1,5142,184,90,82,176,464,6138
20170601,64,0,1,0,1,11377,442,566,490,334,1410,14619
20170601,64,0,2,0,1,63006,2279,2045,751,1680,4299,74060
20170601,64,1,1,0,1,13404,559,773,481,319,1558,17094
20170601,64,1,2,0,1,68278,2456,2207,746,1649,4541,79877
20170601,65,0,1,0,1,8059,132,92,70,43,779,9175
20170601,65,0,2,0,1,42631,631,3085,173,129,2238,48887
20170601,65,1,1,0,1,10246,174,149,114,44,962,11689
20170601,65,1,2,0,1,45702,712,2959,154,125,2434,52086
20170601,66,0,1,0,1,2537,166,116,75,83,325,3302
20170601,66,0,2,0,1,13356,485,193,122,773,982,15911
20170601,66,1,1,0,1,2686,137,145,90,49,331,3438
20170601,66,1,2,0,1,13106,513,207,130,377,938,15271
20170601,67,0,1,0,1,11026,455,767,726,326,1388,14688
20170601,67,0,2,0,1,54297,2148,1763,1119,1492,3629,64448
20170601,67,1,1,0,1,10770,502,823,774,603,1331,14803
20170601,67,1,2,0,1,52165,2085,1617,1090,1759,3480,62196
20170601,68,0,1,0,1,13815,791,1493,1062,1259,1744,20164
20170601,68,0,2,0,1,62579,2518,1421,753,1646,4416,73333
20170601,68,1,1,0,1,15568,806,1256,1151,1169,1963,21913
20170601,68,1,2,0,1,66266,2697,1607,839,1750,4701,77860
20170601,69,0,1,0,1,589,5,1,0,0,74,669
20170601,69,0,2,0,1,3405,38,2,0,0,163,3608
20170601,69,1,1,0,1,943,8,0,0,1,105,1057
20170601,69,1,2,0,1,5321,47,1,0,0,279,5648
20170601,74,0,1,10,1,1090,45,52,126,55,155,1523
20170601,74,0,2,10,1,5613,126,85,123,306,438,6691
20170601,74,1,1,10,1,1231,0,78,135,57,164,1665
20170601,74,1,2,10,1,5570,148,77,128,221,419,6563
20170601,91,0,1,0,1,575,84,72,95,31,69,926
20170601,91,0,2,0,1,2020,121,52,438,209,104,2944
20170601,91,1,1,0,1,548,72,81,91,22,68,882
20170601,91,1,2,0,1,1984,131,60,449,181,103,2908
20170601,92,0,1,0,1,1144,74,97,62,47,171,1595
20170601,92,0,2,0,1,2906,98,138,51,108,230,3531
20170601,92,1,1,0,1,716,42,62,33,32,122,1007
20170601,92,1,2,0,1,2643,83,151,41,124,211,3253
20170601,101,0,1,0,0,16705,490,1027,641,188,312,19363
20170601,101,0,2,0,0,70451,2827,9078,1226,916,3292,87790
20170601,101,1,1,0,0,16003,598,906,1016,284,1434,20241
20170601,101,1,2,0,0,69983,3292,9398,1878,1330,3517,89398
20170601,102,0,1,0,0,6234,170,216,249,54,150,7073
20170601,102,0,2,0,0,36573,680,1644,172,530,2387,41986
20170601,102,1,1,0,0,6143,166,209,255,60,740,7573
20170601,102,1,2,0,0,32709,620,1363,162,659,2189,37702
20170601,103,0,1,0,0,6600,313,461,330,135,133,7972
20170601,103,0,2,0,0,34693,1679,2833,622,598,1984,42409
20170601,103,1,1,0,0,6744,317,459,345,133,742,8740
20170601,103,1,2,0,0,35703,1663,2786,649,607,2080,43488
20170601,104,0,1,0,0,136,8,26,18,9,0,197
20170601,104,0,2,0,0,434,32,46,28,58,12,610
20170601,104,1,1,0,0,136,5,26,20,11,9,207
20170601,104,1,2,0,0,404,19,24,10,34,10,501
20170601,105,0,1,0,0,1552,105,132,95,66,61,2011
20170601,105,0,2,0,0,9687,417,380,175,197,594,11450
20170601,105,1,1,0,0,2144,111,124,98,67,228,2772
20170601,105,1,2,0,0,9867,350,359,106,151,623,11456
20170601,106,0,1,0,0,3336,200,530,419,147,92,4724
20170601,106,0,2,0,0,16544,1424,1475,795,576,1006,21820
20170601,106,1,1,0,0,3978,282,571,480,208,455,5974
20170601,106,1,2,0,0,16267,1385,1426,860,669,1042,21649
20170601,107,0,1,0,0,3141,146,169,165,41,81,3743
20170601,107,0,2,0,0,12427,490,767,258,228,872,15042
20170601,107,1,1,0,0,3325,142,283,187,66,416,4419
20170601,107,1,2,0,0,13338,525,788,240,267,965,16123
20170601,108,0,1,0,0,4953,159,274,314,163,91,5954
20170601,108,0,2,0,0,20337,702,1680,572,631,1052,24974
20170601,108,1,1,0,0,5113,156,290,332,159,495,6545
20170601,108,1,2,0,0,18625,646,1656,527,604,972,23030
20170601,109,0,1,0,0,493,63,68,108,16,9,757
20170601,109,0,2,0,0,1525,153,115,117,101,102,2113
20170601,109,1,1,0,0,540,65,71,88,28,48,840
20170601,109,1,2,0,0,1439,155,116,129,114,102,2055
20170601,110,0,1,0,0,1058,81,156,149,67,16,1527
20170601,110,0,2,0,0,3861,255,304,254,241,153,5068
20170601,110,1,1,0,0,1319,80,177,170,73,124,1943
20170601,110,1,2,0,0,4563,298,295,249,240,181,5826
20170601,111,0,1,0,0,1989,62,165,168,67,20,2471
20170601,111,0,2,0,0,6099,287,742,281,321,313,8043
20170601,111,1,1,0,0,2093,84,168,148,66,184,2743
20170601,111,1,2,0,0,6248,289,742,230,363,330,8202
20170601,112,0,1,0,0,1878,195,223,291,98,26,2711
20170601,112,0,2,0,0,6466,607,487,547,822,266,9195
20170601,112,1,1,0,0,1843,176,243,336,108,149,2855
20170601,112,1,2,0,0,6171,567,505,579,746,240,8808
20170601,113,0,1,0,0,2429,163,337,449,174,56,3608
20170601,113,0,2,0,0,8670,557,387,770,1047,468,11899
20170601,113,1,1,0,0,2974,165,284,391,175,280,4269
20170601,113,1,2,0,0,9352,569,374,690,1026,493,12504
20170601,114,0,1,0,0,1501,90,144,88,31,30,1884
20170601,114,0,2,0,0,4832,252,154,174,310,243,5965
20170601,114,1,1,0,0,1428,93,108,85,30,138,1882
20170601,114,1,2,0,0,4409,213,157,159,293,242,5473
20170601,115,0,1,0,0,5473,158,178,117,47,101,6074
20170601,115,0,2,0,0,16598,607,1169,222,232,970,19798
20170601,115,1,1,0,0,4857,162,182,141,52,577,5971
20170601,115,1,2,0,0,15099,583,1183,242,202,895,18204
20170601,116,0,1,0,0,1660,89,150,319,64,34,2316
20170601,116,0,2,0,0,4932,322,244,521,507,271,6797
20170601,116,1,1,0,0,1698,86,173,280,90,199,2526
20170601,116,1,2,0,0,5007,309,234,494,511,270,6825
20170601,117,0,1,0,0,187,5,7,34,1,6,240
20170601,117,0,2,0,0,457,12,13,108,37,16,643
20170601,117,1,1,0,0,219,5,19,42,8,19,312
20170601,117,1,2,0,0,488,14,9,99,38,19,667
20170601,118,0,1,0,0,325,20,45,32,23,10,455
20170601,118,0,2,0,0,1032,49,45,62,116,46,1350
20170601,118,1,1,0,0,382,26,36,42,27,39,552
20170601,118,1,2,0,0,1086,61,49,63,103,46,1408
20170601,119,0,1,0,0,1926,62,71,96,17,50,2222
20170601,119,0,2,0,0,6434,264,168,69,108,423,7466
20170601,119,1,1,0,0,1930,78,66,119,14,202,2409
20170601,119,1,2,0,0,5981,230,152,65,93,386,6907
20170601,120,0,1,0,0,235,19,32,27,11,5,329
20170601,120,0,2,0,0,677,29,32,65,129,28,960
20170601,120,1,1,0,0,288,20,29,32,20,22,411
20170601,120,1,2,0,0,729,29,38,54,96,29,975
20170601,121,0,1,0,0,173,11,14,17,23,2,240
20170601,121,0,2,0,0,486,20,18,19,68,32,643
20170601,121,1,1,0,0,201,8,12,18,31,12,282
20170601,121,1,2,0,0,612,20,24,40,91,32,819
20170601,122,0,1,0,0,784,31,85,79,22,13,1014
20170601,122,0,2,0,0,2163,126,132,147,153,101,2822
20170601,122,1,1,0,0,824,37,57,79,37,71,1105
20170601,122,1,2,0,0,2044,91,116,127,133,101,2612
20170601,123,0,1,0,0,2977,78,191,200,48,53,3547
20170601,123,0,2,0,0,9678,325,491,269,304,483,11550
20170601,123,1,1,0,0,2831,89,149,160,74,282,3585
20170601,123,1,2,0,0,9291,335,495,244,368,486,11219
20170601,124,0,1,0,0,333,18,35,40,16,3,445
20170601,124,0,2,0,0,1108,66,59,56,131,27,1447
20170601,124,1,1,0,0,477,25,50,50,20,29,651
20170601,124,1,2,0,0,1313,72,59,64,140,40,1688
20170601,125,0,1,0,0,1847,99,229,245,118,45,2583
20170601,125,0,2,0,0,7043,310,526,307,748,388,9322
20170601,125,1,1,0,0,1939,107,261,224,142,216,2889
20170601,125,1,2,0,0,7137,339,500,273,790,405,9444
20170601,126,0,1,0,0,2466,208,307,272,132,53,3438
20170601,126,0,2,0,0,9089,713,445,321,742,363,11673
20170601,126,1,1,0,0,2648,224,332,261,114,244,3823
20170601,126,1,2,0,0,9468,649,448,334,656,410,11965
20170601,127,0,1,0,0,7504,458,670,527,213,156,9528
20170601,127,0,2,0,0,26921,1387,1579,732,1246,1146,33011
20170601,127,1,1,0,0,6155,392,488,453,222,565,8275
20170601,127,1,2,0,0,21924,1088,1245,720,1028,923,26928
20170601,128,0,1,0,0,470,30,198,139,55,7,899
20170601,128,0,2,0,0,2333,233,189,160,357,113,3385
20170601,128,1,1,0,0,564,44,208,112,71,49,1048
20170601,128,1,2,0,0,2320,223,207,165,347,123,3385
20170601,129,0,1,0,0,6458,261,310,195,101,130,7455
20170601,129,0,2,0,0,22012,804,628,257,458,979,25138
20170601,129,1,1,0,0,7141,327,386,303,143,599,8899
20170601,129,1,2,0,0,23547,1016,833,375,685,1017,27473
20170601,130,0,1,0,0,707,34,107,87,63,8,1006
20170601,130,0,2,0,0,2972,86,114,112,575,64,3923
20170601,130,1,1,0,0,827,51,124,80,59,70,1211
20170601,130,1,2,0,0,2871,119,151,151,471,106,3869
20170601,131,0,1,0,0,3396,365,637,512,227,86,5223
20170601,131,0,2,0,0,12341,1034,761,582,669,695,16082
20170601,131,1,1,0,0,3379,364,637,471,214,361,5426
20170601,131,1,2,0,0,11985,987,763,546,808,656,15745
20170601,132,0,1,0,0,1737,134,259,323,172,29,2654
20170601,132,0,2,0,0,5671,366,426,283,691,215,7652
20170601,132,1,1,0,0,1667,142,259,277,200,167,2712
20170601,132,1,2,0,0,5637,350,379,292,780,229,7667
20170601,133,0,1,0,0,411,36,70,108,78,9,712
20170601,133,0,2,0,0,1402,85,144,85,412,48,2176
20170601,133,1,1,0,0,504,36,64,98,83,33,818
20170601,133,1,2,0,0,1234,94,106,73,337,37,1881
20170601,134,0,1,0,0,272,23,39,45,22,2,403
20170601,134,0,2,0,0,923,53,30,60,100,36,1202
20170601,134,1,1,0,0,348,27,45,37,30,35,522
20170601,134,1,2,0,0,911,52,43,71,99,39,1215
20170601,135,0,1,0,0,2459,195,333,456,341,35,3819
20170601,135,0,2,0,0,6210,418,1058,591,1236,196,9709
20170601,135,1,1,0,0,2222,149,277,430,224,166,3468
20170601,135,1,2,0,0,5754,379,1059,569,893,223,8877
20170601,136,0,1,0,0,524,29,117,112,40,5,827
20170601,136,0,2,0,0,2031,165,127,154,258,75,2810
20170601,136,1,1,0,0,658,54,154,101,88,36,1091
20170601,136,1,2,0,0,2106,180,130,146,335,78,2975
20170601,137,0,1,0,0,984,90,139,139,99,22,1473
20170601,137,0,2,0,0,2964,204,212,151,356,125,4012
20170601,137,1,1,0,0,963,98,114,141,95,105,1516
20170601,137,1,2,0,0,2889,163,194,141,308,136,3831
20170601,138,0,1,0,0,2391,411,524,719,471,30,4546
20170601,138,0,2,0,0,10569,1094,634,620,991,592,14500
20170601,138,1,1,0,0,2460,406,546,677,369,258,4716
20170601,138,1,2,0,0,10447,950,611,587,1007,572,14174
20170601,139,0,1,0,0,1962,177,235,209,185,39,2807
20170601,139,0,2,0,0,6422,420,466,302,594,324,8528
20170601,139,1,1,0,0,1798,144,187,164,96,181,2570
20170601,139,1,2,0,0,5332,337,366,168,366,268,6837
20170601,140,0,1,0,0,5693,347,402,385,241,164,7232
